County,Deaths,Cases
Abbeville,24,1735
Aiken,157,11179
Allendale,10,694
Anderson,373,16849
Bamberg,44,1241
Barnwell,36,1940
Beaufort,150,13141
Berkeley,138,11672
Calhoun,27,1080
Charleston,364,28334
Cherokee,120,4648
Chester,51,3086
Chesterfield,78,2724
Clarendon,85,2337
Colleton,82,2330
Darlington,126,5587
Dillon,67,3369
Dorchester,144,9976
Edgefield,24,2147
Fairfield,58,1813
Florence,335,13898
Georgetown,90,3932
Greenville,711,56045
Greenwood,127,6170
Hampton,36,1362
Horry,374,24577
Jasper,38,1905
Kershaw,89,5161
Lancaster,111,7347
Laurens,123,5402
Lee,48,1481
Lexington,368,22158
Marion,79,2749
Marlboro,36,2228
McCormick,15,668
Newberry,79,3387
Oconee,100,7439
Orangeburg,189,7487
Pickens,209,14324
Richland,414,33271
Saluda,32,1293
Spartanburg,539,28601
Sumter,135,7737
Union ,61,2068
Williamsburg,65,2945
York ,255,21122
